YEAR,STATE NAME,CONSTITUENCY NAME,CONSTITUENCY NO,WINNER CANDIDATE NAME,GENDER,PARTY NAME,PARTY SYMBOL,TOTAL ELECTORS,TOTAL NUMBER OF VOTERS (MARGIN),VOTE %,Category,VOTES CASTED,Election Type
1980,Bihar,Banka,29,Chandra Shekhar Singh,Male,Indian National Congress (I),Hand,690997,351663,50.90%,GEN,351717,Lok Sabha (National)
1980,Bihar,Bhagalpur,30,Bhagwat Jha Azad,Male,Indian National Congress (I),Hand,774045,424379,54.80%,GEN,424176,Lok Sabha (National)
1980,Bihar,Khagaria,31,Satish Pd. Singh,Male,Indian National Congress (I),Hand,713675,422876,59.30%,GEN,423209,Lok Sabha (National)
1980,Bihar,Monghyr,32,Devendra Prasad Yadav,Male,Indian National Congress (U),Other,795163,471314,59.30%,GEN,471531,Lok Sabha (National)
1980,Bihar,Begusarai,33,Krishna Shahi,Female,Indian National Congress (I),Hand,772911,459452,59.40%,GEN,459109,Lok Sabha (National)
1980,Bihar,Nalanda,34,Vijay Kumar Yadav,Male,Communist Party Of India,Other,818349,525087,64.20%,GEN,525380,Lok Sabha (National)
1980,Bihar,Patna,35,Ramavatar Shastri,Male,Communist Party Of India,Other,895002,425173,47.50%,GEN,425125,Lok Sabha (National)
1980,Bihar,Arrah,36,Chandradeo Prasad Verma,Male,Janta Party (SECULAR),Other,829450,417138,50.30%,GEN,417213,Lok Sabha (National)
1980,Bihar,Buxar,37,K. K. Tiwari,Male,Indian National Congress (I),Hand,792731,360718,45.50%,GEN,360692,Lok Sabha (National)
1980,Bihar,Sasaram,38,Jagjiwan Ram,Male,Janta Party,Other,751039,391165,52.10%,SC,391291,Lok Sabha (National)
1980,Bihar,Bikramganj,39,Tapeshwar Singh,Male,Indian National Congress (I),Hand,787636,441458,56.10%,GEN,441863,Lok Sabha (National)
1980,Bihar,Aurangabad,40,Satyendra Narain Singh,Male,Janta Party,Other,758576,456992,60.20%,GEN,456662,Lok Sabha (National)
1980,Bihar,Jahanabad,41,Mahendara Prasad,Male,Indian National Congress (I),Hand,863650,571648,66.20%,GEN,571736,Lok Sabha (National)
1980,Bihar,Nawada,42,Kunwar Ram,Male,Indian National Congress (I),Hand,850367,442515,52.00%,SC,442190,Lok Sabha (National)
1980,Bihar,Gaya,43,Ramswaroop Ram,Male,Indian National Congress (I),Hand,709388,390505,55.10%,SC,390872,Lok Sabha (National)
1980,Bihar,Chatra,44,Ranjit Singh,Male,Indian National Congress (I),Hand,658959,275401,41.80%,GEN,275444,Lok Sabha (National)
1980,Bihar,Kodarma,45,Reet Lal Pd. Verma,Male,Janta Party,Other,679406,274331,40.40%,GEN,274480,Lok Sabha (National)
1980,Bihar,Giridih,46,Bindeshwari Dubey,Male,Indian National Congress (I),Hand,683106,305695,44.80%,GEN,306031,Lok Sabha (National)
1980,Bihar,Dhanbad,47,A. K. Roy,Male,Independent,Rising Sun/Other,829241,405558,48.90%,GEN,405498,Lok Sabha (National)
1980,Bihar,Hazaribagh,48,Kunwar Basant Narayan Singh,Male,Janta Party,Other,715407,281511,39.40%,GEN,281870,Lok Sabha (National)
1980,Bihar,Ranchi,49,Shiva Prasad Sahu,Male,Indian National Congress (I),Hand,694669,282539,40.70%,GEN,282730,Lok Sabha (National)
1980,Bihar,Jamshedpur,50,Rudra Pratap Sarangi,Male,Janta Party,Other,664802,321959,48.40%,GEN,321764,Lok Sabha (National)
1980,Bihar,Singhbhum,51,Bagun Sumbrui,Male,Janta Party,Other,574233,171427,29.90%,ST,171695,Lok Sabha (National)
1980,Bihar,Khunti,52,Nirel Enem Horo,Male,Jharkhand Party,Cock,593802,211891,35.70%,ST,211987,Lok Sabha (National)
1980,Bihar,Lohardaga,53,Kartik Oraon,Male,Indian National Congress (I),Hand,638943,260429,40.80%,ST,260688,Lok Sabha (National)
1980,Bihar,Palamau,54,Kamla Kumari,Female,Indian National Congress (I),Hand,673887,274728,40.80%,SC,274945,Lok Sabha (National)
1984,Bihar,Bagaha,1,Bhola Raut,Male,Indian National Congress,Hand,708093,310166,43.80%,SC,310144,Lok Sabha (National)
1984,Bihar,Bettiah,2,Manoj Kumar Pande,Male,Indian National Congress,Hand,748524,406295,54.30%,GEN,406448,Lok Sabha (National)
1984,Bihar,Motihari,3,Prabhawati Gupta,Male,Indian National Congress,Hand,789198,434105,55.00%,GEN,434058,Lok Sabha (National)
1984,Bihar,Gopalganj,4,Kali Prasad Pandey,Male,Independent,Rising Sun/Other,785919,493043,62.70%,GEN,492771,Lok Sabha (National)
1984,Bihar,Siwan,5,Abdul Ghafoor,Male,Indian National Congress,Hand,781000,421832,54.00%,GEN,421740,Lok Sabha (National)
1984,Bihar,Maharajganj,6,Krishnapratap Singh,Male,Indian National Congress,Hand,818305,409900,50.10%,GEN,409970,Lok Sabha (National)
1984,Bihar,Chapra,7,Ram Bahadur Singh,Male,Janta Party,Other,780710,460294,59.00%,GEN,460618,Lok Sabha (National)
1984,Bihar,Hajipur,8,Ram Ratan Ram,Male,Indian National Congress,Hand,834167,593853,71.20%,SC,593926,Lok Sabha (National)
1984,Bihar,Vaishali,9,Kishori Sinha,Male,Indian National Congress,Hand,808346,571719,70.70%,GEN,571500,Lok Sabha (National)
1984,Bihar,Muzaffarpur,10,Laliteshwar Prasad Shahi,Male,Indian National Congress,Hand,805213,556443,69.10%,GEN,556402,Lok Sabha (National)
1984,Bihar,Sitamarhi,11,Ranshresth Khirhar,Male,Indian National Congress,Hand,878566,478099,54.40%,GEN,477939,Lok Sabha (National)
1984,Bihar,Sheohar,12,Ram Dulari Singh,Male,Indian National Congress,Hand,839483,491973,58.60%,GEN,491937,Lok Sabha (National)
1984,Bihar,Madhubani,13,Abdul Hannan An,Male,Indian National Congress,Hand,846577,576056,68.10%,GEN,576518,Lok Sabha (National)
1984,Bihar,Jhanjharpur,14,Gauri Shankar Rajhans,Male,Indian National Congress,Hand,782753,589464,75.30%,GEN,589413,Lok Sabha (National)
1984,Bihar,Darbhanga,15,Vijay Kumar Mishra,Male,Lok Dal,Farmer Ploughing,770111,442007,57.40%,GEN,442043,Lok Sabha (National)
1984,Bihar,Rosera,16,Ram Bhagat Paswan,Male,Indian National Congress,Hand,808683,472110,58.40%,SC,472270,Lok Sabha (National)
1984,Bihar,Samastipur,17,Ramdeo Rai,Male,Indian National Congress,Hand,909700,579340,63.70%,GEN,579478,Lok Sabha (National)
1984,Bihar,Barh,18,Prakash Chandra,Male,Indian National Congress,Hand,853413,610745,71.60%,GEN,611043,Lok Sabha (National)
1984,Bihar,Balia,19,Chandra Bhanu Devi,Female,Indian National Congress,Hand,769052,492389,64.00%,GEN,492193,Lok Sabha (National)
1984,Bihar,Saharsa,20,Chandra Kishore Pathak,Male,Indian National Congress,Hand,913235,638061,69.90%,GEN,638351,Lok Sabha (National)
1984,Bihar,Madhepura,21,Mahabir Prasad Yadav,Male,Indian National Congress,Hand,836565,557547,66.70%,GEN,557988,Lok Sabha (National)
1984,Bihar,Araria,22,Doomar Lal Baitha,Male,Indian National Congress,Hand,791489,472148,59.70%,SC,472518,Lok Sabha (National)
1984,Bihar,Kishanganj,23,Jamilur Rahman,Male,Indian National Congress,Hand,798096,444904,55.80%,GEN,445337,Lok Sabha (National)
1984,Bihar,Purnea,24,Madhuree Singh,Female,Indian National Congress,Hand,773952,442678,57.20%,GEN,442700,Lok Sabha (National)
1984,Bihar,Katihar,25,Tariq Anwar,Male,Indian National Congress,Hand,672232,470487,70.00%,GEN,470562,Lok Sabha (National)
1984,Bihar,Rajmahal,26,Seth Hembrom,Male,Indian National Congress,Hand,692614,318578,46.00%,ST,318602,Lok Sabha (National)
1984,Bihar,Dumka,27,Prithiwi Chand Kisku,Male,Indian National Congress,Hand,708326,380961,53.80%,ST,381079,Lok Sabha (National)
1984,Bihar,Godda,28,Saminuddin,Male,Indian National Congress,Hand,786972,435994,55.40%,GEN,435982,Lok Sabha (National)
1984,Bihar,Banka,29,Manorma Singh,Male,Indian National Congress,Hand,770286,487005,63.20%,GEN,486820,Lok Sabha (National)
1984,Bihar,Bhagalpur,30,Bhagwat Jha Azad,Male,Indian National Congress,Hand,851928,571619,67.10%,GEN,571643,Lok Sabha (National)
1984,Bihar,Khagaria,31,Chandra Shekhar Prasad Verma,Male,Indian National Congress,Hand,765769,490839,64.10%,GEN,490857,Lok Sabha (National)
1984,Bihar,Monghyr,32,Devendra Pd. Yadav,Male,Indian National Congress,Hand,862284,550090,63.80%,GEN,550137,Lok Sabha (National)
1984,Bihar,Begusarai,33,Krishna Shahi,Female,Indian National Congress,Hand,834398,535039,64.10%,GEN,534849,Lok Sabha (National)
1984,Bihar,Nalanda,34,Vijay Kumar Yadav,Male,Communist Party Of India,Other,903642,630485,69.80%,GEN,630742,Lok Sabha (National)
1984,Bihar,Patna,35,C. P. Thakur,Male,Indian National Congress,Hand,963346,504781,52.40%,GEN,504793,Lok Sabha (National)
1984,Bihar,Arrah,36,Bali Ram Bhagat,Male,Indian National Congress,Hand,890008,432394,48.60%,GEN,432543,Lok Sabha (National)
1984,Bihar,Buxar,37,Kamla Kant Tiwari,Male,Indian National Congress,Hand,881047,456203,51.80%,GEN,456382,Lok Sabha (National)
1984,Bihar,Sasaram,38,Jagjiwan Ram,Male,Indian Congress (J),Other,826256,435671,52.70%,SC,435436,Lok Sabha (National)
1984,Bihar,Bikramganj,39,Tapeshwar Singh,Male,Indian National Congress,Hand,849458,589876,69.40%,GEN,589523,Lok Sabha (National)
1984,Bihar,Aurangabad,40,Satyendra Narain Singh,Male,Indian National Congress,Hand,826531,486447,58.90%,GEN,486826,Lok Sabha (National)
1984,Bihar,Jahanabad,41,Ramasharay Pd. Singh,Male,Communist Party Of India,Other,939919,755148,80.30%,GEN,754754,Lok Sabha (National)
1984,Bihar,Nawada,42,Kunwar Ram,Male,Indian National Congress,Hand,957846,553442,57.80%,SC,553634,Lok Sabha (National)
1984,Bihar,Gaya,43,Ram Swaroop Ram,Male,Indian National Congress,Hand,811699,539430,66.50%,SC,539779,Lok Sabha (National)
1984,Bihar,Chatra,44,Yogeshwar Prasad Yogesh,Male,Indian National Congress,Hand,729752,382616,52.40%,GEN,382390,Lok Sabha (National)
1984,Bihar,Kodarma,45,Tilak Dhari Singh,Male,Indian National Congress,Hand,766871,366462,47.80%,GEN,366564,Lok Sabha (National)
1984,Bihar,Giridih,46,Sarfraj Ahmed,Male,Indian National Congress,Hand,735849,377359,51.30%,GEN,377490,Lok Sabha (National)
1984,Bihar,Dhanbad,47,Shankar Dayal Singh,Male,Indian National Congress,Hand,923926,503143,54.50%,GEN,503539,Lok Sabha (National)
1984,Bihar,Hazaribagh,48,Damodar Pandey,Male,Indian National Congress,Hand,794720,380727,47.90%,GEN,380670,Lok Sabha (National)
1984,Bihar,Ranchi,49,Sheo Prasad Sahu,Male,Indian National Congress,Hand,737569,339918,46.10%,GEN,340019,Lok Sabha (National)
1984,Bihar,Jamshedpur,50,Gopeshwar,Male,Indian National Congress,Hand,752702,443298,58.90%,GEN,443341,Lok Sabha (National)
1984,Bihar,Singhbhum,51,Begun Sumbrui,Male,Indian National Congress,Hand,614503,242288,39.40%,ST,242114,Lok Sabha (National)
1984,Bihar,Khunti,52,Simon Tigga,Male,Indian National Congress,Hand,625719,247762,39.60%,ST,247784,Lok Sabha (National)
1984,Bihar,Lohardaga,53,Sumati Oraon,Male,Indian National Congress,Hand,678981,273347,40.30%,ST,273629,Lok Sabha (National)
1984,Bihar,Palamau,54,Kamla Kumari,Female,Indian National Congress,Hand,754787,357940,47.40%,SC,357769,Lok Sabha (National)
