YEAR,STATE NAME,CONSTITUENCY NAME,CONSTITUENCY NO,WINNER CANDIDATE NAME,GENDER,PARTY NAME,PARTY SYMBOL,TOTAL ELECTORS,TOTAL NUMBER OF VOTERS (MARGIN),VOTE %,Category,VOTES CASTED,Election Type
2004,Jammu & Kashmir,PAHALGAM,46,MUFTI MOHAMMAD SAYEED,Male,Jammu & Kashmir Peoples Democratic Party,INK POT & PEN,64121,5174,37.29009009,General,13875,Vidhan Sabha Bypoll (State)
2004,Jammu & Kashmir,BASOLHI,64,KANTA ANDOTRA,Male,Indian National Congress,HAND,71915,3779,8.793075366,General,42977,Vidhan Sabha Bypoll (State)
2004,Jammu & Kashmir,AKHNOOR,79,SHAM LAL SHARMA,Male,Indian National Congress,HAND,85878,3576,6.466312249,General,55302,Vidhan Sabha Bypoll (State)
2007,Jammu & Kashmir,POONCH(HAVELI),87,Jahangir Hussain (E),Male,Indian National Congress,HAND,97024,4398,6.616717819,General,66468,Vidhan Sabha Bypoll (State)
2009,Jammu & Kashmir,SONWAR,24,Md.Yasin Shah,Male,Jammu & Kashmir National Conference,PLOUGH,69235,50,0.254103776,General,19677,Vidhan Sabha Bypoll (State)
2009,Jammu & Kashmir,HAZRATBAL,18,S. M. kamal,Male,Jammu & Kashmir National Conference,PLOUGH,87326,1552,8.933916647,General,17372,Vidhan Sabha Bypoll (State)
2009,Jammu & Kashmir,BHADERWAH,54,Md.  Sharief Niaz,Male,Indian National Congress,HAND,94208,2747,5.163533835,General,53200,Vidhan Sabha Bypoll (State)
2016,Jammu & Kashmir,ANANTNAG,40,Mehbooba Mufti (E),Female,Jammu & Kashmir Peoples Democratic Party,Haldhar within wheel,84124,12085,43.01783362,General,28093,Vidhan Sabha Bypoll (State)
2025,Jammu & Kashmir,NAGROTA,77,DEVYANI RANA,Female,Bharatiya Janata Party,LOTUS,99494,24522,33.37052964,General,73484,Vidhan Sabha Bypoll (State)
2025,Jammu & Kashmir,BUDGAM,27,AGA SYED MUNTAZIR MEHDI,Male,Jammu & Kashmir Peoples Democratic Party,INK POT & PEN,126276,4476,7.155303333,General,62555,Vidhan Sabha Bypoll (State)
2004,Jharkhand,Jamshedpur,9,Suman Mahato (E),Female,Jharkhand Mukti Morcha,Bow and arrow,1396230,105633,0.459,General,641038,Lok Sabha Bypoll (National)
2004,Jharkhand,Koderma,5,Babu Lal Marandi,Male,Bharatiya Janata Party,lotus,1349091,154944,0.562,General,758347,Lok Sabha Bypoll (National)
2004,Jharkhand,Palamu,13,Dhuran Ram,Male,Rashtriya Janata Dal,lantern,1366537,22327,0.498,General,681173,Lok Sabha Bypoll (National)
2009,Jharkhand,Jamshedpur,9,Ajay Kumar,Male,Jharkhand Vikas Morcha (Prajatantrik),Comb,1397897,119663,0.529,General,740003,Lok Sabha Bypoll (National)
2005,Jharkhand,Daltonganj,76,Inder Singh Namdhari,Male,Independent,NA,253690,9595,0.54,General,137077,Vidhan Sabha Bypoll (State)
2005,Jharkhand,Simaria,26,Ramchandra Ram - 'e',Male,Communist Party of India,Sickle and Wheat,243085,8168,0.48,Not Available,116689,Vidhan Sabha Bypoll (State)
2009,Jharkhand,Hatia,64,N. Jaiswal (E),Male,All Jharkhand Students Union Party,Banana,402578,10681,0.379,General,152590,Vidhan Sabha Bypoll (State)
2009,Jharkhand,Kharawan,57,Arjun Munda,Male,Bharatiya Janata Party,lotus,154880,7817,0.721,Scheduled Tribe,111671,Vidhan Sabha Bypoll (State)
2009,Jharkhand,Mandu,24,J.P.B. Patel,Male,Jharkhand Mukti Morcha,Bow & Arrow,298577,11725,0.561,General,167504,Vidhan Sabha Bypoll (State)
